	company	fund_id	fund_name	avg	avg_type	category	fund_type	me	ydev	y5dev	risk	Link	Klusterbomber	Kemiska vapen	Kärnvapen	Vapen/krigsmateriel	Alkohol	Tobak	Spelverksamhet	Pornografi	Fossila bränslen	Kol	Uran	Genmodifierade organismer	Alkohol_comment	Fossila bränslen (olja, gas, kol)_comment	Kemiska och biologiska vapen_comment	Klusterbomber, personminor_comment	Kol_comment	Kommersiell spelverksamhet_comment	Kärnvapen_comment	Pornografi_comment	Tobak_comment	Uran_comment	Vapen och/eller krigsmateriel_comment	Övrigt_comment
357483	Carnegie Fonder AB	357483	Carnegie Strategifond	0.35	NA	Varierande	B	M/E	7	11	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000429813	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
393314	Carnegie Fonder AB	393314	Carnegie Sverigefond	0.34	NA	Sverige	A	M/E	11	14	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000429789	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ												
106906	Carnegie Fund Services S.A.	106906	Carnegie Emerging Markets Corporate Bond	0.24	NA	Tillväxtmarknad ränta	R	NA	2	-	-		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
112755	Catella Fondförvaltning AB	112755	Catella Avkastningsfond	0.28	NA	Övriga räntefonder	R	NA	1	1	mycket låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
184416	Catella Fondförvaltning AB	184416	Catella Småbolagsfond SEK Allmän klass	0.57	NA	Sverige småbolag	A	NA	2	19	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
220244	Catella Fondförvaltning AB	220244	Catella Sverige Aktiv Hållbarhet	0.58	NA	Sverige	A	M/E	7	11	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000577322	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Fonden investerar inte i bolag med produktion av alkohol.	Fonden investerar inte i bolag med produktion och utvinning av fossila bränslen. I de fall fonden gör investeringar i distributions- och serviceföretag premieras bolag vars erbjudande innebär en hållbarhetsförbättring.	Fonden investerar inte i bolag med produktion eller distribution av vapen.	Fonden investerar inte i bolag med produktion eller distribution av vapen.	Fonden investerar inte i bolag med produktion av kol.	Fonden investerar inte i bolag med produktion av kommersiell spelverksamhet.	Fonden investerar inte i bolag med produktion eller distribution av vapen.	Fonden investerar inte i bolag med produktion av pornografi.	Fonden investerar inte i bolag med produktion av tobak.		Fonden investerar inte i bolag med produktion eller distribution av vapen.	
838441	Catella Fondförvaltning AB	838441	Catella Sverige Index	0.29	NA	Sverige	A	NA	9	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
384750	Cicero Fonder AB	384750	Cicero Avkastningsfond	0.24	NA	Sverige lång och realränta	R	M/E	2	2	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0000891772	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.					Får totalt uppgå till max 5% sammantaget bland vapen.	
579425	Cicero Fonder AB	579425	Cicero China Index A	0.38	NA	Kina	A	NA	17	-	hög		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
543595	Cicero Fonder AB	543595	Cicero Emerging Markets Index A	0.37	NA	Nya marknader	A	NA	23	-	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
972901	Cicero Fonder AB	972901	Cicero Focus	0.50	NA	Sverige	A	M/E	5	10	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0001932781	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.					Får totalt uppgå till max 5% sammantaget bland vapen.	
670505	Cicero Fonder AB	670505	Cicero Nordic Corporate Bond	0.37	NA	Norden ränta	R	M/E	4	-	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0005757275	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ											Får totalt uppgå till max 5% sammantaget bland vapen.	
738500	Cicero Fonder AB	738500	Cicero Världen	0.68	NA	Global	A	M/E	8	-	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0007048509	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.					Får totalt uppgå till max 5% sammantaget bland vapen.	
959502	Cicero Fonder AB	959502	Cicero World 0-100	0.59	FOF	Varierande	B	M/E	4	5	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0004576437	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.						
187898	Cicero Fonder AB	187898	Cicero World 0-50	0.54	FOF	Varierande	B	M/E	2	3	låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0003655273	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.						
855973	Cicero Fonder AB	855973	Cicero World Wide	0.59	RES	Varierande	B	M/E	4	5	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0001451428	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ						Väljer bort alla bolag med spel om pengar.						
920074	Cliens Kapitalförvaltning AB	920074	Cliens Mixfond	0.62	NA	Varierande	B	M/E	3	9	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0004841070	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
955906	Cliens Kapitalförvaltning AB	955906	Cliens Räntefond Kort	0.21	NA	Norden ränta	R	M/E	-1	1	mycket låg	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0003910298	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
725101	Cliens Kapitalförvaltning AB	725101	Cliens Småbolag A	0.72	RES	Sverige småbolag	A	M/E	15	-	-	http://www.hallbarhetsprofilen.se/fund.html?isin=SE0008992069	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ												
920371	Credit Suisse Fund Management S.A.	920371	Credit Suisse (Lux) Small and Mid Cap Europe Equity Fund	0.75	NA	Europa småbolag	A	NA	21	18	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
107201	Credit Suisse Fund Management S.A.	107201	Credit Suisse (Lux) USA Value Equity Fund	0.75	NA	USA och Nordamerika	A	NA	-7	9	hög		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
613729	Danske Invest Management Company S.A.	613729	Danske Invest  SICAV- SRI Global	0.26	NA	Global	A	M/E	10	17	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=LU1349493681	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	5% omsättningsgräns	5% omsättningsgräns	0% omsättningsgräns	0% omsättningsgräns	30% omsättningsgräns	5% omsättningsgräns	0% omsättningsgräns	5% omsättningsgräns	5% omsättningsgräns		5% omsättningsgräns	Oljesand: 0% omsättningsgräns; Elproducenter: 30% produktionskapacitetsgräns från kul.
891804	Danske Invest Management Company S.A.	891804	Danske Invest Allocation SICAV- Horisont Aktie	0.56	FOF	Global och Sverige	A	M/E	9	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
927632	Danske Invest Management Company S.A.	927632	Danske Invest Allocation SICAV- Horisont Balanserad	0.44	FOF	Balanserad	B	M/E	7	8	låg	http://www.hallbarhetsprofilen.se/fund.html?isin=LU1349506334	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ			0% omsättningsgräns	0% omsättningsgräns	30% omsättningsgräns		0% omsättningsgräns					Oljesand: 0% omsättningsgräns; Elproducenter: 30% produktionskapacitetsgräns från kul.
696658	Danske Invest Management Company S.A.	696658	Danske Invest Allocation SICAV- Horisont Offensiv	0.50	FOF	Aggressiv	B	M/E	8	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
732487	Danske Invest Management Company S.A.	732487	Danske Invest Allocation SICAV- Horisont Ränta	0.27	FOF	Global ränta	R	M/E	2	2	mycket låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
963462	Danske Invest Management Company S.A.	963462	Danske Invest Allocation SICAV-Horisont Försiktig	0.38	FOF	Försiktig	B	M/E	4	6	låg	http://www.hallbarhetsprofilen.se/fund.html?isin=LU1349507738	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ			Tröskelvärde: 0% av omsättningen hos bolaget.	Tröskelvärde: 0% av omsättningen hos bolaget.			0% omsättningsgräns					
539585	Danske Invest Management Company S.A.	539585	Danske Invest SICAV - Eastern Europe ex Russia - Class A	0.65	NA	Östeuropa	A	NA	25	8	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
408898	Danske Invest Management Company S.A.	408898	Danske Invest SICAV - Global Corporate Bonds	0.35	NA	Global ränta	R	NA	2	4	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
432096	Danske Invest Management Company S.A.	432096	Danske Invest SICAV - Global Stockpicking	0.62	NA	Global	A	NA	8	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
832899	Danske Invest Management Company S.A.	832899	Danske Invest SICAV Sverige Fokus	0.53	NA	Sverige	A	M/E	10	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
973263	Danske Invest Management Company S.A.	973263	Danske Invest SICAV-  Sverige	0.47	NA	Sverige	A	M/E	11	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
252411	Danske Invest Management Company S.A.	252411	Danske Invest SICAV- Global Index	0.24	NA	Global	A	M/E	10	17	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
865774	Danske Invest Management Company S.A.	865774	Danske Invest SICAV- Sverige Kort Ränta	0.13	NA	Sverige kortränta	R	M/E	0	1	mycket låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
901603	Danske Invest Management Company S.A.	901603	Danske Invest SICAV- Sverige Ränta	0.21	NA	Sverige lång och realränta	R	M/E	0	3	mycket låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
829945	Danske Invest Management Company S.A.	829945	Danske Invest SICAV-Aktiv Förmögenhetsförvaltning	0.46	NA	Balanserad	B	M/E	5	7	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
144923	Danske Invest Management Company S.A.	144923	Danske Invest SICAV-Europa	0.53	NA	Europa	A	M/E	7	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
937433	Danske Invest Management Company S.A.	937433	Danske Invest SICAV-Sverige/Europa	0.53	NA	Övriga länder	A	M/E	9	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
291906	Didner & Gerge Fonder AB	291906	Didner & Gerge Aktiefond	0.30	NA	Sverige	A	NA	10	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
541235	Didner & Gerge Fonder AB	541235	Didner & Gerge Global	0.35	NA	Global	A	NA	18	17	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
140491	Didner & Gerge Fonder AB	140491	Didner & Gerge Småbolag	0.32	NA	Norden	A	NA	9	19	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
341305	Didner & Gerge Fonder AB	341305	Didner & Gerge US Small and Microcap	0.35	NA	USA och Nordamerika	A	NA	9	-	-		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
723270	DNB Asset Management AS	723270	DNB Global Indeks	0.20	NA	Global	A	M/E	10	17	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010582984	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
759100	DNB Asset Management AS	759100	DNB Grönt Norden	0.60	NA	Norden	A	M/E	13	16	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010102866	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 5% eller mer av sina intäkter från termiskt kol eller baserar 5% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.	5%		Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.		5% Gäller endast vapen	Uakseptable nivå av inntekter fra oljesand (>=30%) - det legges vekt på fremoverskuende vurderinger av selskapene, herunder eventuelle planer som vil redusere inntekts- eller virksomhetsanfelen knyttet til oljesand og/eller øke inntekts- eller virksomhetsandelen knyttet til fornybare energikilder.
517508	DNB Asset Management AS	517508	DNB Health Care	0.53	NA	Läkemedel och bioteknik	A	M/E	10	21	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010337579	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
687442	DNB Asset Management AS	687442	DNB SMB	0.60	NA	Övriga länder	A	M/E	-2	13	hög	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010337819	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
191676	DNB Asset Management AS	191676	DNB Teknologi	0.53	NA	IT och kommunikation	A	M/E	25	29	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010337678	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
651612	DNB Asset Management AS	651612	DNB USA Indeks	0.50	NA	USA och Nordamerika	A	M/E	8	20	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=NO0010337959	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
362327	DNB Asset Management S.A.	362327	DNB Fund - Asian Small Cap	0.62	NA	Asien	A	M/E	33	19	hög	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0067059799	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
503573	DNB Asset Management S.A.	503573	DNB Fund - Global ESG	0.52	NA	Global	A	M/E	9	15	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0029375739	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ	5%				Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.	5%		Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.		5%	Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
819029	DNB Asset Management S.A.	819029	DNB Fund - Global Emerging Markets ESG	0.64	NA	Nya marknader	A	M/E	28	12	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0090738252	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ	5%				Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.	5%		Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.		5%	Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
481671	DNB Asset Management S.A.	481671	DNB Fund - India	0.57	RES	Indien	A	M/E	28	27	hög	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0302237721	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
242495	DNB Asset Management S.A.	242495	DNB Fund - Nordic Equities	0.49	NA	Norden	A	M/E	11	15	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0083425479	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
445841	DNB Asset Management S.A.	445841	DNB Fund - Private Equity	0.62	NA	Global	A	M/E	16	17	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=LU0302296065	UNDVIKER	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	Undviker EJ	Undviker EJ					Gruvbolag eller kraftproducenter som själva, eller i konsoliderade enheter som kontrolleras av företagen, får 30% eller mer av sina intäkter från termiskt kol eller baserar 30% eller mer av sin verksamhet på detta, kan exkluderas i investeringsuniverset. Tonvikt läggs på framåtblickande bedömningar.			Fonden placerar inte i bolag som är involverade i produktion av pornografi.	Fonden placerar inte i bolag som är involverade i produktion av tobak.			Oacceptabel nivå av intäkter från oljesand (>= 30%). Tonvikt läggs på framåtblickande bedömningar av företagen, inklusive eventuella planer som reducerar intäkterna eller verksamhetsandelen knutet till oljesand och/eller ökar intäkterna eller verksamhetsandelen knutet till förnybara energikällor.
